"filename", "language", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"e:\react\whatsapp\src\components\chat\conversation.js", "JavaScript", 185, 0, 0, 11, 29, 225
"e:\react\whatsapp\src\components\chat\dateHeader.js", "JavaScript", 26, 0, 0, 0, 5, 31
"e:\react\whatsapp\src\components\chat\dateModal.js", "JavaScript", 40, 0, 0, 1, 6, 47
"e:\react\whatsapp\src\components\chat\stack.js", "JavaScript", 103, 0, 0, 0, 25, 128
"e:\react\whatsapp\src\components\copy.js", "JavaScript", 110, 0, 0, 0, 5, 115
"e:\react\whatsapp\src\components\details\documents.js", "JavaScript", 57, 0, 0, 1, 9, 67
"e:\react\whatsapp\src\components\details\dp.js", "JavaScript", 64, 0, 0, 0, 10, 74
"e:\react\whatsapp\src\components\details\gallery.js", "JavaScript", 47, 0, 0, 0, 5, 52
"e:\react\whatsapp\src\components\details\index.js", "JavaScript", 233, 0, 0, 3, 17, 253
"e:\react\whatsapp\src\components\details\userCard.js", "JavaScript", 91, 0, 0, 1, 10, 102
"e:\react\whatsapp\src\components\dpPreview.js", "JavaScript", 59, 0, 0, 0, 8, 67
"e:\react\whatsapp\src\components\dpUpload\index.js", "JavaScript", 224, 0, 0, 0, 40, 264
"e:\react\whatsapp\src\components\errorBoundary.js", "JavaScript", 38, 0, 0, 0, 13, 51
"e:\react\whatsapp\src\components\floating\index.js", "JavaScript", 137, 0, 0, 11, 29, 177
"e:\react\whatsapp\src\components\floating\useOutsideClick.js", "JavaScript", 32, 0, 0, 0, 13, 45
"e:\react\whatsapp\src\components\floating\utils.js", "JavaScript", 62, 0, 0, 0, 19, 81
"e:\react\whatsapp\src\components\footer\attachment.js", "JavaScript", 52, 0, 0, 26, 6, 84
"e:\react\whatsapp\src\components\footer\gifMessage.js", "JavaScript", 204, 0, 0, 2, 40, 246
"e:\react\whatsapp\src\components\footer\index.js", "JavaScript", 153, 0, 0, 1, 23, 177
"e:\react\whatsapp\src\components\footer\input.js", "JavaScript", 165, 0, 0, 11, 39, 215
"e:\react\whatsapp\src\components\footer\previewModal.js", "JavaScript", 450, 0, 0, 12, 69, 531
